classe,municipio,uf,tipo,situacao,area,vpp,vup,vm,lances,exposicao,selic,igpm,ipca,incc,pib,idade,condominio,esquina,vagas,abaixo,arrematado
1,3550308,35,1,2,181375,863003.9,518527.26,725938,1,53,6.5,76157,38903,41445,1.1,30,1,2,2,0.4,SIM
1,3550308,35,1,1,85.06,304455.08,182928.79,256100,1,53,6.5,76157,38903,41445,1.1,30,1,2,1,0.4,SIM
1,3519071,35,2,1,118,102610,61652.19,86313,32,52,6.5,76157,38903,41445,1.1,30,2,1,0,0.4,SIM
1,3513801,35,1,1,92.93,179352.49,89801.79,134703,0,52,6.5,76157,38903,41445,1.1,17,1,2,1,0.5,NAO
1,3550308,35,1,1,404875,594133.36,356979.08,499771,0,51,6.5,76157,38903,41445,1.1,25,1,2,3,0.4,NAO
1,3550308,35,1,1,48.72,309464.27,186215.56,260702,2,88,6.5,76157,38903,41445,1.1,42,1,2,0,0.4,SIM
1,3523909,35,4,1,108900,1569220.52,785708.7,1178563,0,50,6.5,76157,38903,41445,1.1,15,2,2,0,0.5,NAO
1,3550308,35,1,1,81.52,380750.45,190641.75,285963,0,50,6.5,76157,38903,41445,1.1,43,1,1,0,0.5,NAO
2,3550308,35,3,1,450,1379340.91,690635.98,1035954,0,51,6.5,76157,38903,41445,1.1,38,2,2,0,0.5,NAO
1,3554953,35,2,1,90,154015.75,107961.96,140351,0,51,6.5,76157,38903,41445,1.1,39,2,2,0,0.3,NAO
1,2500734,35,1,1,135.29,401095.7,281160.06,365508,1,51,6.5,76157,38903,41445,1.1,31,1,2,1,0.3,SIM
1,3538709,35,8,2,18048.5,5776000,5776000,6353600,0,0,6.5,76157,38903,41445,1.1,11,2,2,0,0.1,NAO
1,3554003,35,2,1,651,475130.99,237898.08,356847,0,50,6.5,67516,37765,40925,1.1,34,2,2,0,0.5,NAO
1,3523909,35,8,1,162258,74112583.26,37108170.04,55662255,0,52,6.5,67516,37765,40925,1.1,29,2,2,0,0.5,NAO
1,3550308,35,1,1,47.92,200953.03,120438.77,169819,0,52,6.5,67516,37765,40925,1.1,31,1,1,0,0.41,NAO
1,4213807,35,1,1,41.3,105616.09,52808.05,79212,20,7,6.5,67516,37765,40925,1.1,33,1,1,0,0.5,SIM
1,3548500,35,1,1,95641,505650.06,347817.28,459119,0,7,6.5,67516,37765,40925,1.1,4,1,2,1,0.32,NAO
1,3537800,35,2,1,659.21,765042.55,631023.92,744608,0,3,6.5,67516,37765,40925,1.1,25,2,2,0,0.18,NAO
1,3534401,35,1,1,241.01,523164.09,261948.26,392922,1,49,6.5,67516,37765,40925,1.1,26,2,1,1,0.5,SIM
1,3530607,35,8,1,300,38544.36,23126.61,32609,1,51,6.5,67516,37765,40925,1.1,30,2,2,0,0.41,SIM
1,3550308,35,1,1,119.09,272579.4,163776.61,229287,0,48,6.5,67516,37765,40925,1.1,28,1,2,1,0.4,NAO
1,3552205,35,2,1,199.2,80762.36,48403.94,68250,0,54,6.5,67516,37765,40925,1.1,30,2,2,0,0.41,NAO
1,3550308,35,1,1,338.64,1126445.85,564062.12,846093,27,54,6.5,67516,37765,40925,1.1,14,1,2,4,0.5,SIM
1,2708808,35,8,2,443.2,253580.14,126650.16,191242,17,54,6.5,67516,37765,40925,1.1,38,2,1,0,0.51,SIM
1,3550308,35,2,1,92.56,977265.88,587180.42,822053,36,50,6.5,67516,37765,40925,1.1,31,2,2,0,0.4,SIM
1,3550308,35,1,2,262.24,713021.75,427340.95,602551,0,54,6.5,67516,37765,40925,1.1,34,1,2,3,0.41,NAO
1,3534401,35,1,1,94.25,271057.84,162862.39,228007,1,50,6.5,67516,37765,40925,1.1,29,1,2,1,0.4,SIM
1,3550308,35,1,2,578.7,1587478.51,951436.02,1341525,0,51,6.5,67516,37765,40925,1.1,34,1,2,3,0.41,NAO
1,3550308,35,1,1,94.3,489768.4,260903,383527,0,1,6.5,67516,37765,40925,1.1,20,1,2,2,0.47,NAO
1,3550308,35,2,1,300,885276.43,885276.43,1319062,0,0,6.5,67516,37765,40925,1.1,41,2,2,0,0.49,NAO
1,3550308,35,2,1,200,828273.76,497660,696724,0,50,6.5,67516,37765,40925,1.1,8,2,2,0,0.4,NAO
1,3550308,35,1,1,284.55,1898810.12,1333011.13,1732914,0,53,6.5,67516,37765,40925,1.1,26,1,2,2,0.3,NAO
1,3550308,35,1,1,524.97,1193351.85,715220.98,1008462,0,50,6.5,67516,37765,40925,1.1,7,1,2,4,0.41,NAO
2,3302502,33,3,1,4704,7082288.76,5100345.42,6528442,1,1,6.5,67516,37765,40925,1.1,12,2,1,0,0.28,SIM
1,3534401,35,1,1,936457,291056.05,145367.43,219505,0,53,6.5,67516,37765,40925,1.1,9,1,2,0,0.51,NAO
1,3550308,35,1,1,562.4,1838988.68,918479.67,1386904,0,54,6.5,67516,37765,40925,1.1,26,1,2,4,0.51,NAO
1,3552205,35,2,1,150,56900.88,28450.44,42676,7,54,6.5,67516,37765,40925,1.1,24,2,1,0,0.5,SIM
1,3550308,35,2,1,304,430083.21,214804.3,324354,0,53,6.5,67516,37765,40925,1.1,42,2,1,0,0.51,NAO
1,3550308,35,1,2,611.91,4115930.14,2466832.9,3478234,0,53,6.5,67516,37765,40925,1.1,21,1,2,5,0.41,NAO
1,3550308,35,1,1,107.57,211258.32,126615.12,178527,9,52,6.5,67516,37765,40925,1.1,34,1,2,0,0.41,SIM
1,3550308,35,1,1,101.95,221469.43,132735.02,187156,13,52,6.5,67516,37765,40925,1.1,19,1,2,0,0.41,SIM
1,3550308,35,1,1,75.77,326716.73,162949.97,246054,37,53,6.5,67516,37765,40925,1.1,18,1,1,0,0.51,SIM
1,3550308,35,2,1,75.57,301070.56,150369.16,227057,41,52,6.5,67516,37765,40925,1.1,37,2,1,0,0.51,SIM
1,3509601,35,2,1,125,370549.36,185070.22,279456,0,52,6.5,67516,37765,40925,1.1,25,2,2,0,0.51,NAO
1,3550308,35,2,1,555.6,5612412.64,2803109.64,4232696,0,52,6.5,67516,37765,40925,1.1,43,2,1,0,0.51,NAO
1,3509502,35,2,1,308.19,692427.01,436567.25,598097,0,10,6.5,67516,37765,40925,1.1,12,1,2,0,0.37,NAO
1,3504107,35,2,1,1422.72,1781306.91,889670.61,1343403,0,49,6.5,67516,37765,40925,1.1,4,2,2,0,0.51,NAO
1,3550308,35,1,1,58.62,356935.53,178270.82,269189,1,51,6.5,67516,37765,40925,1.1,37,1,2,0,0.51,SIM
1,3552205,35,2,1,250,250379.23,125051.47,188828,1,50,6.5,67516,37765,40925,1.1,35,2,2,0,0.51,SIM
1,3501608,35,2,1,302.5,75571.44,37691.26,56914,2,52,6.5,67516,37765,40925,1.1,35,2,2,0,0.51,SIM
1,3550308,35,1,1,187.3,869813.88,434906.94,652360,9,6,6.5,67516,37765,40925,1.1,8,1,2,2,0.5,SIM
1,3530607,35,1,1,1449812,195601.61,136921.12,179367,0,20,6.5,75521,37455,39681,1.3,8,1,2,1,0.31,NAO
1,3550308,35,2,1,166.87,581525.96,290762.98,436144,0,20,6.5,75521,37455,39681,1.3,42,2,2,0,0.5,NAO
2,3550308,35,7,1,50,65099.24,39059.55,54683,1,21,6.5,9694,40459,39785,1.3,30,1,2,0,0.4,SIM
1,3550308,35,2,1,250,918415.33,543029.24,765671,0,11,6.5,9694,40459,39785,1.3,40,2,2,0,0.41,NAO
1,3513801,35,1,1,96309,348756.06,194569.8,282126,0,7,6.5,9694,40459,39785,1.3,7,1,2,1,0.45,NAO
1,3524006,35,8,1,368.91,216293.98,164789.47,204339,0,7,6.5,9694,40459,39785,1.3,8,1,2,0,0.24,NAO
1,4309100,43,2,2,666.25,1140000,1140000,1550400,1,0,6.5,9694,40459,39785,1.3,33,2,1,0,0.36,NAO
1,3304409,35,1,1,137.11,378021.61,226812.97,317538,1,22,6.5,9694,40459,39785,1.3,31,1,2,1,0.4,SIM
1,3544806,35,2,1,275,214368.25,122958.35,175830,0,6,6.5,9694,40459,39785,1.3,34,2,2,1,0.43,NAO
1,2927408,29,1,1,256.39,1122037.47,922348.5,1088371,0,6,6.5,9694,40459,39785,1.3,5,1,2,3,0.18,NAO
1,3550308,35,2,1,137.5,614428.17,368656.9,519806,0,21,6.5,108074,45568,39992,1.3,42,2,2,0,0.41,NAO
1,3509700,35,2,1,900,1490000,1490000,2056200,0,0,6.5,108074,45568,39992,1.3,35,2,2,4,0.38,NAO
1,3518800,35,1,1,684378,304668.01,152226.44,229862,1,1,6.5,108074,45568,39992,1.3,36,1,2,0,0.51,SIM
1,3506003,35,2,1,431.71,739572.57,444477.25,622268,0,1,6.5,108074,45568,39992,1.3,11,1,2,0,0.4,NAO
1,3550308,35,2,1,290,612284.22,306142.11,459213,9,7,6.5,108074,45568,39992,1.3,19,2,2,0,0.5,SIM
1,3552205,35,2,1,228.43,252965.65,204359.02,245231,0,1,6.5,108074,45568,39992,1.3,18,1,2,0,0.2,NAO
2,3505708,35,8,1,1468,1040000,372475.91,614585,0,7,6.5,108074,45568,39992,1.3,14,2,2,0,0.65,NAO
1,3518701,35,8,1,200,51893.28,26024.13,39036,18,21,6.5,108074,45568,39992,1.3,22,2,2,0,0.5,SIM
1,3550308,35,1,2,948016,185766.78,92766.78,139150,35,21,6.5,108074,45568,39992,1.3,19,1,2,1,0.5,SIM
